,date,pm25,o3,no2,co
2219,2018-01-17,61.0,79.28432642487047,13.74074074074074,2.0
2220,2018-01-18,58.0,79.24222797927462,13.666666666666666,2.0
2221,2018-01-19,61.0,79.20012953367876,13.592592592592593,2.0
2222,2018-01-20,56.0,79.15803108808291,13.518518518518519,2.0
2223,2018-01-21,64.0,79.11593264248705,13.444444444444445,2.0
2224,2018-01-22,76.0,79.0738341968912,13.37037037037037,2.0
2225,2018-01-23,43.0,79.03173575129534,13.296296296296296,2.0
2226,2018-01-24,42.0,78.98963730569949,13.222222222222221,2.0
2227,2018-01-25,41.0,78.94753886010362,13.148148148148149,2.0
2228,2018-01-26,39.0,78.90544041450777,13.074074074074074,2.0
2234,2018-02-01,55.0,78.65284974093264,16.0,2.0
2235,2018-02-02,48.0,78.61075129533678,13.0,2.0
2236,2018-02-03,42.0,78.56865284974093,13.006944444444445,2.0
2237,2018-02-04,42.0,78.52655440414507,13.01388888888889,2.0
2238,2018-02-05,44.0,78.48445595854922,13.020833333333334,2.0
2239,2018-02-06,47.0,78.44235751295336,13.027777777777779,2.0
2240,2018-02-07,45.0,78.40025906735751,13.034722222222221,2.0
2241,2018-02-08,52.0,78.35816062176166,13.041666666666666,2.0
2242,2018-02-09,55.0,78.3160621761658,13.04861111111111,2.0
2243,2018-02-10,64.0,78.27396373056995,13.055555555555555,2.0
2244,2018-02-11,54.0,78.23186528497409,13.0625,2.0
2245,2018-02-12,44.0,78.18976683937824,13.069444444444445,2.0
2246,2018-02-13,37.0,78.14766839378238,13.07638888888889,2.0
2247,2018-02-14,50.0,78.10556994818653,13.083333333333334,2.0
2248,2018-02-15,60.0,78.06347150259067,13.090277777777779,2.0
2249,2018-02-16,44.0,78.02137305699482,13.097222222222221,2.0
2250,2018-02-17,36.0,77.97927461139896,13.104166666666666,2.0
2251,2018-02-18,49.0,77.93717616580311,13.11111111111111,2.0
2252,2018-02-19,49.0,77.89507772020725,13.118055555555555,2.0
2253,2018-02-20,61.0,77.8529792746114,13.125,2.0
2254,2018-02-21,49.0,77.81088082901555,13.131944444444445,2.0
2255,2018-02-22,25.0,77.76878238341969,13.13888888888889,2.0
2256,2018-02-23,28.0,77.72668393782384,13.145833333333334,2.0
2257,2018-02-24,45.0,77.68458549222798,13.152777777777779,2.0
2258,2018-02-25,33.0,77.64248704663213,13.159722222222221,2.0
2259,2018-02-26,39.0,77.60038860103627,13.166666666666666,2.0
2260,2018-02-27,34.0,77.55829015544042,13.17361111111111,2.0
2261,2018-02-28,41.0,77.51619170984456,13.180555555555555,2.0
2262,2018-03-01,55.0,77.47409326424871,13.1875,2.0
2263,2018-03-02,21.0,77.43199481865285,13.194444444444445,2.0
2264,2018-03-03,32.0,77.389896373057,13.20138888888889,2.0
2265,2018-03-04,24.0,77.34779792746114,13.208333333333334,2.0
2266,2018-03-05,25.0,77.30569948186529,13.215277777777779,2.0
2267,2018-03-06,30.0,77.26360103626943,13.222222222222221,2.0
2268,2018-03-07,17.0,77.22150259067358,13.229166666666666,2.0
2269,2018-03-08,34.0,77.17940414507773,13.23611111111111,2.0
2270,2018-03-09,38.0,77.13730569948187,13.243055555555555,2.0
2271,2018-03-10,33.0,77.09520725388602,13.25,2.0
2272,2018-03-11,32.0,77.05310880829016,13.256944444444445,2.0
2273,2018-03-12,20.0,77.01101036269431,13.26388888888889,2.0
2274,2018-03-13,23.0,76.96891191709845,13.270833333333334,2.0
2275,2018-03-14,25.0,76.9268134715026,13.277777777777779,2.0
2276,2018-03-15,40.0,76.88471502590673,13.284722222222221,2.0
2277,2018-03-16,39.0,76.84261658031087,13.291666666666666,2.0
2278,2018-03-17,27.0,76.80051813471502,13.29861111111111,2.0
2279,2018-03-18,30.0,76.75841968911917,13.305555555555555,2.0
2280,2018-03-19,32.0,76.71632124352331,13.3125,2.0
2281,2018-03-20,21.0,76.67422279792746,13.319444444444445,2.0
2282,2018-03-21,21.0,76.6321243523316,13.32638888888889,2.0
2283,2018-03-22,26.0,76.59002590673575,13.333333333333334,2.0
2284,2018-03-23,29.0,76.54792746113989,13.340277777777779,2.0
2285,2018-03-24,28.0,76.50582901554404,13.347222222222221,2.0
2286,2018-03-25,26.0,76.46373056994818,13.354166666666666,2.0
2287,2018-03-26,30.0,76.42163212435233,13.36111111111111,2.0
2288,2018-03-27,27.0,76.37953367875647,13.368055555555555,2.0
2289,2018-03-28,49.0,76.33743523316062,13.375,2.0
2290,2018-03-29,56.0,76.29533678756476,13.381944444444445,2.0
2291,2018-03-30,50.0,76.25323834196891,13.38888888888889,2.0
2292,2018-03-31,21.0,76.21113989637306,13.395833333333334,2.0
2293,2017-10-01,22.0,76.1690414507772,13.402777777777779,2.0
2294,2017-10-02,37.0,76.12694300518135,13.409722222222221,2.0
2295,2017-10-03,29.0,76.08484455958549,13.416666666666666,2.0
2296,2017-10-04,37.0,76.04274611398964,13.42361111111111,2.0
2297,2017-10-05,51.0,76.00064766839378,13.430555555555555,2.0
2298,2017-10-06,51.0,75.95854922279793,13.4375,2.0
2299,2017-10-07,39.0,75.91645077720207,13.444444444444445,2.0
2300,2017-10-08,23.0,75.87435233160622,13.45138888888889,2.0
2301,2017-10-09,28.0,75.83225388601036,13.458333333333334,2.0
2302,2017-10-10,31.0,75.79015544041451,13.465277777777779,2.0
2303,2017-10-11,37.0,75.74805699481865,13.472222222222221,2.0
2304,2017-10-12,18.0,75.7059585492228,13.479166666666666,2.0
2305,2017-10-13,21.0,75.66386010362694,13.48611111111111,2.0
2306,2017-10-14,31.0,75.62176165803109,13.493055555555555,2.0
2307,2017-10-15,29.0,75.57966321243524,13.5,2.0
2308,2017-10-16,20.0,75.53756476683938,13.506944444444445,2.0
2309,2017-10-17,25.0,75.49546632124353,13.51388888888889,2.0
2310,2017-10-18,45.0,75.45336787564767,13.520833333333334,2.0
2311,2017-10-19,43.0,75.41126943005182,13.527777777777779,2.0
2312,2017-10-20,37.0,75.36917098445596,13.534722222222221,2.0
2313,2017-10-21,47.0,75.32707253886011,13.541666666666666,2.0
2314,2017-10-22,47.0,75.28497409326425,13.54861111111111,2.0
2315,2017-10-23,29.0,75.2428756476684,13.555555555555555,2.0
2316,2017-10-24,34.0,75.20077720207254,13.5625,2.0
2317,2017-10-25,30.0,75.15867875647669,13.569444444444445,2.0
2318,2017-10-26,36.0,75.11658031088083,13.57638888888889,2.0
2319,2017-10-27,41.0,75.07448186528498,13.583333333333334,2.0
2320,2017-10-28,34.0,75.03238341968913,13.590277777777779,2.0
2321,2017-10-29,11.0,74.99028497409327,13.597222222222221,2.0
2322,2017-10-30,25.0,74.94818652849742,13.604166666666666,2.0
2323,2017-10-31,38.0,74.90608808290156,13.61111111111111,2.0
2324,2017-11-01,37.0,74.86398963730569,13.618055555555555,2.0
2325,2017-11-02,43.0,74.82189119170984,13.625,2.0
2326,2017-11-03,37.0,74.77979274611398,13.631944444444445,2.0
2327,2017-11-04,24.0,74.73769430051813,13.63888888888889,2.0
2328,2017-11-05,25.0,74.69559585492227,13.645833333333334,2.0
2329,2017-11-06,35.0,74.65349740932642,13.652777777777779,2.0
2330,2017-11-07,24.0,74.61139896373057,13.659722222222221,2.0
2331,2017-11-08,27.0,74.56930051813471,13.666666666666666,2.0
2332,2017-11-09,31.0,74.52720207253886,13.67361111111111,2.0
2333,2017-11-10,26.0,74.485103626943,13.680555555555555,2.0
2334,2017-11-11,24.0,74.44300518134715,13.6875,2.0
2335,2017-11-12,48.0,74.40090673575129,13.694444444444445,2.0
2336,2017-11-13,49.0,74.35880829015544,13.70138888888889,2.0
2337,2017-11-14,39.0,74.31670984455958,13.708333333333334,2.0
2338,2017-11-15,29.0,74.27461139896373,13.715277777777779,2.0
2339,2017-11-16,28.0,74.23251295336787,13.722222222222221,2.0
2340,2017-11-17,27.0,74.19041450777202,13.729166666666666,2.0
2341,2017-11-18,37.0,74.14831606217616,13.73611111111111,2.0
2342,2017-11-19,35.0,74.10621761658031,13.743055555555555,2.0
2343,2017-11-20,35.0,74.06411917098445,13.75,2.0
2344,2017-11-21,49.0,74.0220207253886,13.756944444444445,2.0
2345,2017-11-22,44.0,73.97992227979275,13.76388888888889,2.0
2346,2017-11-23,32.0,73.93782383419689,13.770833333333334,2.0
2347,2017-11-24,46.0,73.89572538860104,13.777777777777779,2.0
2348,2017-11-25,53.0,73.85362694300518,13.784722222222221,2.0
2349,2017-11-26,37.0,73.81152849740933,13.791666666666666,2.0
2350,2017-11-27,40.0,73.76943005181347,13.79861111111111,2.0
2351,2017-11-28,35.0,73.72733160621762,13.805555555555555,2.0
2352,2017-11-29,43.0,73.68523316062176,13.8125,2.0
2353,2017-11-30,35.0,73.64313471502591,13.819444444444445,2.0
2354,2017-12-01,43.0,73.60103626943005,13.82638888888889,2.0
2355,2017-12-02,38.0,73.5589378238342,13.833333333333334,2.0
2356,2017-12-03,51.0,73.51683937823834,13.840277777777779,2.0
2357,2017-12-04,64.0,73.47474093264249,13.847222222222221,2.0
2358,2017-12-05,34.0,73.43264248704664,13.854166666666666,2.0
2359,2017-12-06,35.0,73.39054404145078,13.86111111111111,2.0
2360,2017-12-07,39.0,73.34844559585493,13.868055555555555,2.0
2361,2017-12-08,41.0,73.30634715025907,13.875,2.0
2362,2017-12-09,42.0,73.26424870466322,13.881944444444445,2.0
2363,2017-12-10,49.0,73.22215025906736,13.88888888888889,2.0
2364,2017-12-11,46.0,73.18005181347151,13.895833333333334,2.0
2365,2017-12-12,39.0,73.13795336787565,13.902777777777779,2.0
2366,2017-12-13,32.0,73.0958549222798,13.909722222222221,2.0
2367,2017-12-14,44.0,73.05375647668394,13.916666666666666,2.0
2368,2017-12-15,43.0,73.01165803108809,13.92361111111111,2.0
2369,2017-12-16,52.0,72.96955958549223,13.930555555555555,2.0
2370,2017-12-17,43.0,72.92746113989638,13.9375,2.0
2371,2017-12-18,61.0,72.88536269430053,13.944444444444445,2.0
2372,2017-12-19,49.0,72.84326424870467,13.95138888888889,2.0
2373,2017-12-20,46.0,72.8011658031088,13.958333333333334,2.0
2374,2017-12-21,39.0,72.75906735751295,13.965277777777779,2.0
2375,2017-12-22,52.0,72.71696891191709,13.972222222222221,2.0
2376,2017-12-23,50.0,72.67487046632124,13.979166666666666,2.0
2377,2017-12-24,33.0,72.63277202072538,13.98611111111111,2.0
2378,2017-12-25,45.0,72.59067357512953,13.993055555555555,2.0
2379,2017-12-26,43.0,72.54857512953367,14.0,2.0
2380,2017-12-27,52.0,72.50647668393782,14.006944444444445,2.0
2381,2017-12-28,43.0,72.46437823834196,14.01388888888889,2.0
2382,2017-12-29,49.0,72.42227979274611,14.020833333333334,2.0
2383,2017-12-30,57.0,72.38018134715026,14.027777777777779,2.0
2384,2017-12-31,47.0,72.3380829015544,14.034722222222221,2.0
2385,2017-07-01,30.0,72.29598445595855,14.041666666666666,2.0
2386,2017-07-02,34.0,72.25388601036269,14.04861111111111,2.0
2387,2017-07-03,45.0,72.21178756476684,14.055555555555555,2.0
2388,2017-07-04,56.0,72.16968911917098,14.0625,2.0
2389,2017-07-05,55.0,72.12759067357513,14.069444444444445,2.0
2390,2017-07-06,21.0,72.08549222797927,14.07638888888889,2.0
2391,2017-07-07,20.0,72.04339378238342,14.083333333333334,2.0
2392,2017-07-08,34.0,72.00129533678756,14.090277777777779,2.0
2393,2017-07-09,31.0,71.95919689119171,14.097222222222221,2.0
2394,2017-07-10,39.0,71.91709844559585,14.104166666666666,2.0
2395,2017-07-11,47.0,71.875,14.11111111111111,2.0
2396,2017-07-12,53.0,71.83290155440415,14.118055555555555,2.0
2397,2017-07-13,59.0,71.79080310880829,14.125,2.0
2398,2017-07-14,23.0,71.74870466321244,14.131944444444445,2.0
2399,2017-07-15,24.0,71.70660621761658,14.13888888888889,2.0
2400,2017-07-16,29.0,71.66450777202073,14.145833333333334,2.0
2401,2017-07-17,39.0,71.62240932642487,14.152777777777779,2.0
2402,2017-07-18,30.0,71.58031088082902,14.159722222222221,2.0
2403,2017-07-19,55.0,71.53821243523316,14.166666666666666,2.0
2404,2017-07-20,69.0,71.49611398963731,14.17361111111111,2.0
2405,2017-07-21,41.0,71.45401554404145,14.180555555555555,2.0
2406,2017-07-22,61.0,71.4119170984456,14.1875,2.0
2407,2017-07-23,59.0,71.36981865284974,14.194444444444445,2.0
2408,2017-07-24,16.0,71.32772020725389,14.20138888888889,2.0
2409,2017-07-25,18.0,71.28562176165804,14.208333333333334,2.0
2410,2017-07-26,18.0,71.24352331606218,14.215277777777779,2.0
2411,2017-07-27,36.0,71.20142487046633,14.222222222222221,2.0
2412,2017-07-28,53.0,71.15932642487047,14.229166666666666,2.0
2413,2017-07-29,15.0,71.11722797927462,14.23611111111111,2.0
2414,2017-07-30,24.0,71.07512953367876,14.243055555555555,2.0
2415,2017-07-31,43.0,71.03303108808291,14.25,2.0
2416,2017-08-01,62.0,70.99093264248705,14.256944444444445,2.0
2417,2017-08-02,71.0,70.9488341968912,14.26388888888889,2.0
2418,2017-08-03,57.0,70.90673575129534,14.270833333333334,2.0
2419,2017-08-04,31.0,70.86463730569949,14.277777777777779,2.0
2420,2017-08-05,24.0,70.82253886010363,14.284722222222221,2.0
2421,2017-08-06,22.0,70.78044041450778,14.291666666666666,2.0
2422,2017-08-07,36.0,70.73834196891191,14.29861111111111,2.0
2423,2017-08-08,29.0,70.69624352331606,14.305555555555555,2.0
2424,2017-08-09,51.0,70.6541450777202,14.3125,2.0
2425,2017-08-10,64.0,70.61204663212435,14.319444444444445,2.0
2426,2017-08-11,26.0,70.56994818652849,14.32638888888889,2.0
2427,2017-08-12,27.0,70.52784974093264,14.333333333333334,2.0
2428,2017-08-13,32.0,70.48575129533678,14.340277777777779,2.0
2429,2017-08-14,41.0,70.44365284974093,14.347222222222221,2.0
2430,2017-08-15,51.0,70.40155440414507,14.354166666666666,2.0
2431,2017-08-16,45.0,70.35945595854922,14.36111111111111,2.0
2432,2017-08-17,37.0,70.31735751295336,14.368055555555555,2.0
2433,2017-08-18,40.0,70.27525906735751,14.375,2.0
2434,2017-08-19,35.0,70.23316062176166,14.381944444444445,2.0
2435,2017-08-20,38.0,70.1910621761658,14.38888888888889,2.0
2436,2017-08-21,60.0,70.14896373056995,14.395833333333334,2.0
2437,2017-08-22,58.0,70.10686528497409,14.402777777777779,2.0
2438,2017-08-23,30.0,70.06476683937824,14.409722222222221,2.0
2439,2017-08-24,43.0,70.02266839378238,14.416666666666666,2.0
2440,2017-08-25,32.0,69.98056994818653,14.42361111111111,2.0
2441,2017-08-26,31.0,69.93847150259067,14.430555555555555,2.0
2442,2017-08-27,39.0,69.89637305699482,14.4375,2.0
2443,2017-08-28,31.0,69.85427461139896,14.444444444444445,2.0
2444,2017-08-29,16.0,69.81217616580311,14.45138888888889,2.0
2445,2017-08-30,29.0,69.77007772020725,14.458333333333334,2.0
2446,2017-08-31,48.0,69.7279792746114,14.465277777777779,2.0
2447,2017-09-01,20.0,69.68588082901555,14.472222222222221,2.0
2448,2017-09-02,17.0,69.64378238341969,14.479166666666666,2.0
2449,2017-09-03,19.0,69.60168393782384,14.48611111111111,2.0
2450,2017-09-04,50.0,69.55958549222798,14.493055555555555,2.0
2451,2017-09-05,67.0,69.51748704663213,14.5,2.0
2452,2017-09-09,19.0,69.47538860103627,14.506944444444445,2.0
2453,2017-09-10,15.0,69.43329015544042,14.51388888888889,2.0
2454,2017-09-11,27.0,69.39119170984456,14.520833333333334,2.0
2455,2017-09-12,44.0,69.34909326424871,14.527777777777779,2.0
2456,2017-09-13,46.0,69.30699481865285,14.534722222222221,2.0
2457,2017-09-14,49.0,69.264896373057,14.541666666666666,2.0
2458,2017-09-15,45.0,69.22279792746114,14.54861111111111,2.0
2459,2017-09-16,59.0,69.18069948186529,14.555555555555555,2.0
2460,2017-09-17,56.0,69.13860103626943,14.5625,2.0
2461,2017-09-18,19.0,69.09650259067358,14.569444444444445,2.0
2462,2017-09-19,35.0,69.05440414507773,14.57638888888889,2.0
2463,2017-09-20,24.0,69.01230569948187,14.583333333333334,2.0
2464,2017-09-21,38.0,68.97020725388602,14.590277777777779,2.0
2465,2017-09-22,23.0,68.92810880829016,14.597222222222221,2.0
2466,2017-09-23,32.0,68.88601036269431,14.604166666666666,2.0
2467,2017-09-24,56.0,68.84391191709845,14.61111111111111,2.0
2468,2017-09-25,54.0,68.8018134715026,14.618055555555555,2.0
2469,2017-09-26,27.0,68.75971502590674,14.625,2.0
2470,2017-09-27,29.0,68.71761658031089,14.631944444444445,2.0
2471,2017-09-28,18.0,68.67551813471502,14.63888888888889,2.0
2472,2017-09-29,26.0,68.63341968911917,14.645833333333334,2.0
2473,2017-09-30,22.0,68.59132124352331,14.652777777777779,2.0
2474,2017-04-01,20.0,68.54922279792746,14.659722222222221,2.0
2475,2017-04-02,30.0,68.5071243523316,14.666666666666666,2.0
2476,2017-04-03,42.0,68.46502590673575,14.67361111111111,2.0
2477,2017-04-04,31.0,68.42292746113989,14.680555555555555,2.0
2478,2017-04-05,42.0,68.38082901554404,14.6875,2.0
2479,2017-04-06,26.0,68.33873056994818,14.694444444444445,2.0
2480,2017-04-07,23.0,68.29663212435233,14.70138888888889,2.0
2481,2017-04-08,26.0,68.25453367875647,14.708333333333334,2.0
2482,2017-04-09,33.0,68.21243523316062,14.715277777777779,2.0
2483,2017-04-10,58.0,68.17033678756476,14.722222222222221,2.0
2484,2017-04-11,65.0,68.12823834196891,14.729166666666666,2.0
2485,2017-04-12,63.0,68.08613989637306,14.73611111111111,2.0
2486,2017-04-13,23.0,68.0440414507772,14.743055555555555,2.0
2487,2017-04-14,28.0,68.00194300518135,14.75,2.0
2488,2017-04-15,33.0,67.95984455958549,14.756944444444445,2.0
2489,2017-04-16,46.0,67.91774611398964,14.76388888888889,2.0
2490,2017-04-17,25.0,67.87564766839378,14.770833333333334,2.0
2491,2017-04-18,23.0,67.83354922279793,14.777777777777779,2.0
2492,2017-04-19,22.0,67.79145077720207,14.784722222222221,2.0
2493,2017-04-20,40.0,67.74935233160622,14.791666666666666,2.0
2494,2017-04-21,22.0,67.70725388601036,14.79861111111111,2.0
2495,2017-04-22,21.0,67.66515544041451,14.805555555555555,2.0
2496,2017-04-23,20.0,67.62305699481865,14.8125,2.0
2497,2017-04-24,29.0,67.5809585492228,14.819444444444445,2.0
2498,2017-04-25,9.0,67.53886010362694,14.82638888888889,2.0
2499,2017-04-26,30.0,67.49676165803109,14.833333333333334,2.0
2500,2017-04-27,41.0,67.45466321243524,14.840277777777777,2.0
2501,2017-04-28,63.0,67.41256476683938,14.847222222222221,2.0
2502,2017-04-29,40.0,67.37046632124353,14.854166666666666,2.0
2503,2017-04-30,19.0,67.32836787564767,14.86111111111111,2.0
2504,2017-05-01,37.0,67.28626943005182,14.868055555555555,2.0
2505,2017-05-02,33.0,67.24417098445596,14.875,2.0
2506,2017-05-03,23.0,67.20207253886011,14.881944444444445,2.0
2507,2017-05-04,32.0,67.15997409326425,14.88888888888889,2.0
2508,2017-05-05,27.0,67.1178756476684,14.895833333333334,2.0
2509,2017-05-06,30.0,67.07577720207254,14.902777777777777,2.0
2510,2017-05-07,17.0,67.03367875647669,14.909722222222221,2.0
2511,2017-05-08,24.0,66.99158031088083,14.916666666666666,2.0
2512,2017-05-09,26.0,66.94948186528498,14.92361111111111,2.0
2513,2017-05-10,29.0,66.90738341968913,14.930555555555555,2.0
2514,2017-05-11,22.0,66.86528497409327,14.9375,2.0
2515,2017-05-12,17.0,66.82318652849742,14.944444444444445,2.0
2516,2017-05-13,5.0,66.78108808290156,14.95138888888889,2.0
2517,2017-05-14,25.0,66.7389896373057,14.958333333333334,2.0
2518,2017-05-15,22.0,66.69689119170985,14.965277777777777,2.0
2519,2017-05-16,30.0,66.65479274611398,14.972222222222221,2.0
2520,2017-05-17,62.0,66.61269430051813,14.979166666666666,2.0
2521,2017-05-18,66.0,66.57059585492227,14.98611111111111,2.0
2522,2017-05-19,50.0,66.52849740932642,14.993055555555555,2.0
2523,2017-05-20,21.0,66.48639896373057,15.0,2.0
2524,2017-05-21,20.0,66.44430051813471,15.006944444444445,2.0
2525,2017-05-22,21.0,66.40220207253886,15.01388888888889,2.0
2526,2017-05-23,32.0,66.360103626943,15.020833333333334,2.0
2527,2017-05-24,31.0,66.31800518134715,15.027777777777777,2.0
2528,2017-05-25,4.0,66.27590673575129,15.034722222222221,2.0
2529,2017-05-26,17.0,66.23380829015544,15.041666666666666,2.0
2530,2017-05-27,23.0,66.19170984455958,15.04861111111111,2.0
2531,2017-05-28,24.0,66.14961139896373,15.055555555555555,2.0
2532,2017-05-29,15.0,66.10751295336787,15.0625,2.0
2533,2017-05-30,23.0,66.06541450777202,15.069444444444445,2.0
2534,2017-05-31,32.0,66.02331606217616,15.07638888888889,2.0
2535,2017-06-01,32.0,65.98121761658031,15.083333333333334,2.0
2536,2017-06-02,33.0,65.93911917098445,15.090277777777777,2.0
2537,2017-06-03,20.0,65.8970207253886,15.097222222222221,2.0
2538,2017-06-04,22.0,65.85492227979275,15.104166666666666,2.0
2539,2017-06-05,43.0,65.81282383419689,15.11111111111111,2.0
2540,2017-06-06,13.0,65.77072538860104,15.118055555555555,2.0
2541,2017-06-07,17.0,65.72862694300518,15.125,2.0
2542,2017-06-08,25.0,65.68652849740933,15.131944444444445,2.0
2543,2017-06-09,41.0,65.64443005181347,15.13888888888889,2.0
2544,2017-06-10,51.0,65.60233160621762,15.145833333333334,2.0
2545,2017-06-11,53.0,65.56023316062176,15.152777777777777,2.0
2546,2017-06-12,60.0,65.51813471502591,15.159722222222221,2.0
2547,2017-06-13,64.0,65.47603626943005,15.166666666666666,2.0
2548,2017-06-14,37.0,65.4339378238342,15.17361111111111,2.0
2549,2017-06-15,23.0,65.39183937823834,15.180555555555555,2.0
2550,2017-06-16,25.0,65.34974093264249,15.1875,2.0
2551,2017-06-17,31.0,65.30764248704664,15.194444444444445,2.0
2552,2017-06-18,40.0,65.26554404145078,15.20138888888889,2.0
2553,2017-06-19,40.0,65.22344559585493,15.208333333333334,2.0
2554,2017-06-20,23.0,65.18134715025907,15.215277777777777,2.0
2555,2017-06-21,39.0,65.13924870466322,15.222222222222221,2.0
2556,2017-06-22,57.0,65.09715025906736,15.229166666666666,2.0
2557,2017-06-23,68.0,65.05505181347151,15.23611111111111,2.0
2558,2017-06-24,23.0,65.01295336787565,15.243055555555555,2.0
2559,2017-06-25,29.0,64.9708549222798,15.25,2.0
2560,2017-06-26,21.0,64.92875647668394,15.256944444444445,2.0
2561,2017-06-27,45.0,64.88665803108809,15.26388888888889,2.0
2562,2017-06-28,25.0,64.84455958549223,15.270833333333334,2.0
2563,2017-06-29,38.0,64.80246113989638,15.277777777777777,2.0
2564,2017-06-30,50.0,64.76036269430053,15.284722222222221,2.0
2565,2017-01-02,51.0,64.71826424870467,15.291666666666666,2.0
2566,2017-01-03,26.0,64.67616580310882,15.29861111111111,2.0
2567,2017-01-04,47.0,64.63406735751296,15.305555555555555,2.0
2568,2017-01-05,48.0,64.59196891191709,15.3125,2.0
2569,2017-01-06,55.0,64.54987046632124,15.319444444444445,2.0
2570,2017-01-07,49.0,64.50777202072538,15.32638888888889,2.0
2571,2017-01-08,56.0,64.46567357512953,15.333333333333334,2.0
2572,2017-01-09,52.0,64.42357512953367,15.340277777777777,2.0
2573,2017-01-10,53.0,64.38147668393782,15.347222222222221,2.0
2574,2017-01-11,52.0,64.33937823834196,15.354166666666666,2.0
2575,2017-01-12,57.0,64.29727979274611,15.36111111111111,2.0
2576,2017-01-13,47.0,64.25518134715026,15.368055555555555,2.0
2577,2017-01-14,43.0,64.2130829015544,15.375,2.0
2578,2017-01-15,55.0,64.17098445595855,15.381944444444445,2.0
2579,2017-01-16,59.0,64.12888601036269,15.38888888888889,2.0
2580,2017-01-17,64.0,64.08678756476684,15.395833333333334,2.0
2581,2017-01-18,39.0,64.04468911917098,15.402777777777777,2.0
2582,2017-01-19,55.0,64.00259067357513,15.409722222222221,2.0
2583,2017-01-20,43.0,63.96049222797927,15.416666666666666,2.0
2584,2017-01-21,65.0,63.91839378238342,15.42361111111111,2.0
2585,2017-01-22,61.0,63.876295336787564,15.430555555555555,2.0
2586,2017-01-23,22.0,63.83419689119171,15.4375,2.0
2587,2017-01-24,32.0,63.792098445595855,15.444444444444445,2.0
2588,2017-01-25,44.0,63.75,15.45138888888889,2.0
2589,2017-01-26,58.0,63.707901554404145,15.458333333333334,2.0
2590,2017-01-27,40.0,63.66580310880829,15.465277777777777,2.0
2591,2017-01-29,50.0,63.623704663212436,15.472222222222221,2.0
2592,2017-01-30,45.0,63.58160621761658,15.479166666666666,2.0
2593,2017-01-31,44.0,63.53950777202073,15.48611111111111,2.0
2594,2017-02-01,48.0,63.49740932642487,15.493055555555555,2.0
2595,2017-02-02,45.0,63.45531088082902,15.5,2.0
2596,2017-02-03,48.0,63.41321243523316,15.506944444444445,2.0
2597,2017-02-04,47.0,63.37111398963731,15.51388888888889,2.0
2598,2017-02-05,51.0,63.329015544041454,15.520833333333334,2.0
2599,2017-02-06,57.0,63.2869170984456,15.527777777777777,2.0
2600,2017-02-07,62.0,63.244818652849744,15.534722222222221,2.0
2601,2017-02-08,57.0,63.20272020725389,15.541666666666666,2.0
2602,2017-02-09,33.0,63.160621761658035,15.54861111111111,2.0
2603,2017-02-10,40.0,63.11852331606218,15.555555555555555,2.0
2604,2017-02-11,64.0,63.076424870466326,15.5625,2.0
2605,2017-02-12,39.0,63.034326424870464,15.569444444444445,2.0
2606,2017-02-13,38.0,62.99222797927461,15.57638888888889,2.0
2607,2017-02-14,44.0,62.950129533678755,15.583333333333334,2.0
2608,2017-02-15,52.0,62.9080310880829,15.590277777777777,2.0
2609,2017-02-16,42.0,62.865932642487046,15.597222222222221,2.0
2610,2017-02-17,50.0,62.82383419689119,15.604166666666666,2.0
2611,2017-02-18,57.0,62.78173575129534,15.61111111111111,2.0
2612,2017-02-19,56.0,62.73963730569948,15.618055555555555,2.0
2613,2017-02-20,36.0,62.69753886010363,15.625,2.0
2614,2017-02-21,37.0,62.65544041450777,15.631944444444445,2.0
2615,2017-02-22,53.0,62.61334196891192,15.63888888888889,2.0
2616,2017-02-23,74.0,62.57124352331606,15.645833333333334,2.0
2617,2017-02-24,52.0,62.52914507772021,15.652777777777777,2.0
2618,2017-02-25,31.0,62.487046632124354,15.659722222222221,2.0
2619,2017-02-26,34.0,62.4449481865285,15.666666666666666,2.0
2620,2017-02-27,51.0,62.402849740932645,15.67361111111111,2.0
2621,2017-02-28,49.0,62.36075129533679,15.680555555555555,2.0
2622,2017-03-01,48.0,62.318652849740936,15.6875,2.0
2623,2017-03-02,37.0,62.27655440414508,15.694444444444445,2.0
2624,2017-03-03,28.0,62.234455958549226,15.70138888888889,2.0
2625,2017-03-04,29.0,62.19235751295337,15.708333333333334,2.0
2626,2017-03-05,33.0,62.15025906735752,15.715277777777777,2.0
2627,2017-03-06,47.0,62.10816062176166,15.722222222222221,2.0
2628,2017-03-07,65.0,62.06606217616581,15.729166666666666,2.0
2629,2017-03-08,52.0,62.023963730569946,15.73611111111111,2.0
2630,2017-03-09,48.0,61.98186528497409,15.743055555555555,2.0
2631,2017-03-10,26.0,61.93976683937824,15.75,2.0
2632,2017-03-11,34.0,61.89766839378238,15.756944444444445,2.0
2633,2017-03-12,36.0,61.85556994818653,15.76388888888889,2.0
2634,2017-03-13,41.0,61.81347150259067,15.770833333333334,2.0
2635,2017-03-14,23.0,61.77137305699482,15.777777777777777,2.0
2636,2017-03-15,35.0,61.729274611398964,15.784722222222221,2.0
2637,2017-03-16,43.0,61.68717616580311,15.791666666666666,2.0
2638,2017-03-17,45.0,61.645077720207254,15.79861111111111,2.0
2639,2017-03-18,43.0,61.6029792746114,15.805555555555555,2.0
